2026-01-23 13:55:39 | metrics_collector | INFO | Elapsed: 47.4s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:40 | metrics_collector | INFO | Elapsed: 48.4s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:41 | metrics_collector | INFO | Elapsed: 49.4s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:42 | metrics_collector | INFO | Elapsed: 50.5s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:43 | metrics_collector | INFO | Elapsed: 51.5s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:45 | metrics_collector | INFO | Elapsed: 52.5s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:46 | metrics_collector | INFO | Elapsed: 53.5s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:47 | metrics_collector | INFO | Elapsed: 54.5s | Total: 249 | Current TPS: 0 | Avg TPS: 5
2026-01-23 13:55:48 | metrics_collector | INFO | Elapsed: 55.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:49 | metrics_collector | INFO | Elapsed: 56.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:50 | metrics_collector | INFO | Elapsed: 57.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:51 | metrics_collector | INFO | Elapsed: 58.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:52 | metrics_collector | INFO | Elapsed: 59.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:53 | metrics_collector | INFO | Elapsed: 60.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:54 | metrics_collector | INFO | Elapsed: 61.5s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:55 | metrics_collector | INFO | Elapsed: 62.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:56 | metrics_collector | INFO | Elapsed: 63.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:57 | metrics_collector | INFO | Elapsed: 64.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:58 | metrics_collector | INFO | Elapsed: 65.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:55:59 | metrics_collector | INFO | Elapsed: 66.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:56:00 | metrics_collector | INFO | Elapsed: 67.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:56:01 | metrics_collector | INFO | Elapsed: 68.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:56:02 | metrics_collector | INFO | Elapsed: 69.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:56:03 | metrics_collector | INFO | Elapsed: 70.6s | Total: 249 | Current TPS: 0 | Avg TPS: 4
2026-01-23 13:56:03 | metrics_collector | INFO | ============================================================
2026-01-23 13:56:03 | metrics_collector | INFO | FINAL SUMMARY
2026-01-23 13:56:03 | metrics_collector | INFO | Total Monitoring Time: 70.79s
2026-01-23 13:56:03 | metrics_collector | INFO | Total Trades: 249
2026-01-23 13:56:03 | metrics_collector | INFO | Average TPS: 3.51
2026-01-23 13:56:03 | metrics_collector | INFO | Peak TPS: 249.00
2026-01-23 13:56:03 | metrics_collector | INFO | ============================================================
2026-01-23 14:40:59 | metrics_collector | INFO | Metrics Collector started
2026-01-23 14:40:59 | metrics_collector | INFO | Monitoring database: C:\Users\Harsh\Desktop\post-trade-engine\db\trades.db
2026-01-23 14:40:59 | metrics_collector | INFO | Update interval: 1.0s
2026-01-23 14:40:59 | metrics_collector | INFO | Elapsed: 0.0s | Total: 0 | Current TPS: 0 | Avg TPS: 0
2026-01-23 14:41:00 | metrics_collector | INFO | Elapsed: 1.0s | Total: 0 | Current TPS: 0 | Avg TPS: 0
2026-01-23 14:41:01 | metrics_collector | INFO | Elapsed: 2.0s | Total: 0 | Current TPS: 0 | Avg TPS: 0
2026-01-23 14:41:02 | metrics_collector | INFO | Elapsed: 3.0s | Total: 0 | Current TPS: 0 | Avg TPS: 0
2026-01-23 14:41:03 | metrics_collector | INFO | Elapsed: 4.1s | Total: 0 | Current TPS: 0 | Avg TPS: 0
2026-01-23 14:41:04 | metrics_collector | INFO | Elapsed: 5.1s | Total: 0 | Current TPS: 0 | Avg TPS: 0
2026-01-23 14:41:05 | metrics_collector | INFO | Elapsed: 6.1s | Total: 39 | Current TPS: 39 | Avg TPS: 39
2026-01-23 14:41:06 | metrics_collector | INFO | Elapsed: 7.2s | Total: 111 | Current TPS: 72 | Avg TPS: 56
2026-01-23 14:41:07 | metrics_collector | INFO | Elapsed: 8.2s | Total: 215 | Current TPS: 104 | Avg TPS: 72
2026-01-23 14:41:08 | metrics_collector | INFO | Elapsed: 9.3s | Total: 327 | Current TPS: 112 | Avg TPS: 82
2026-01-23 14:41:09 | metrics_collector | INFO | Elapsed: 10.4s | Total: 443 | Current TPS: 116 | Avg TPS: 89
2026-01-23 14:41:10 | metrics_collector | INFO | Elapsed: 11.4s | Total: 562 | Current TPS: 119 | Avg TPS: 94
2026-01-23 14:41:12 | metrics_collector | INFO | Elapsed: 12.5s | Total: 689 | Current TPS: 127 | Avg TPS: 98
2026-01-23 14:41:13 | metrics_collector | INFO | Elapsed: 13.6s | Total: 813 | Current TPS: 124 | Avg TPS: 102
2026-01-23 14:41:14 | metrics_collector | INFO | Elapsed: 14.6s | Total: 919 | Current TPS: 106 | Avg TPS: 102
2026-01-23 14:41:15 | metrics_collector | INFO | Elapsed: 15.7s | Total: 1,039 | Current TPS: 120 | Avg TPS: 104
2026-01-23 14:41:16 | metrics_collector | INFO | Elapsed: 16.8s | Total: 1,164 | Current TPS: 125 | Avg TPS: 106
2026-01-23 14:41:17 | metrics_collector | INFO | Elapsed: 17.9s | Total: 1,292 | Current TPS: 128 | Avg TPS: 108
2026-01-23 14:41:18 | metrics_collector | INFO | Elapsed: 18.9s | Total: 1,433 | Current TPS: 141 | Avg TPS: 110
2026-01-23 14:41:19 | metrics_collector | INFO | Elapsed: 20.0s | Total: 1,563 | Current TPS: 130 | Avg TPS: 112
2026-01-23 14:41:20 | metrics_collector | INFO | Elapsed: 21.2s | Total: 1,686 | Current TPS: 123 | Avg TPS: 112
2026-01-23 14:41:21 | metrics_collector | INFO | Elapsed: 22.2s | Total: 1,820 | Current TPS: 134 | Avg TPS: 114
2026-01-23 14:41:22 | metrics_collector | INFO | Elapsed: 23.3s | Total: 1,964 | Current TPS: 144 | Avg TPS: 116
2026-01-23 14:41:23 | metrics_collector | INFO | Elapsed: 24.3s | Total: 2,116 | Current TPS: 152 | Avg TPS: 118
2026-01-23 14:41:24 | metrics_collector | INFO | Elapsed: 25.4s | Total: 2,264 | Current TPS: 148 | Avg TPS: 119
2026-01-23 14:41:26 | metrics_collector | INFO | Elapsed: 26.5s | Total: 2,418 | Current TPS: 154 | Avg TPS: 121
2026-01-23 14:41:27 | metrics_collector | INFO | Elapsed: 27.6s | Total: 2,562 | Current TPS: 144 | Avg TPS: 122
2026-01-23 14:41:28 | metrics_collector | INFO | Elapsed: 28.6s | Total: 2,681 | Current TPS: 119 | Avg TPS: 122
2026-01-23 14:41:29 | metrics_collector | INFO | Elapsed: 29.7s | Total: 2,822 | Current TPS: 141 | Avg TPS: 123
2026-01-23 14:41:30 | metrics_collector | INFO | Elapsed: 30.7s | Total: 2,965 | Current TPS: 143 | Avg TPS: 124
2026-01-23 14:41:31 | metrics_collector | INFO | Elapsed: 31.7s | Total: 3,104 | Current TPS: 139 | Avg TPS: 124
2026-01-23 14:41:32 | metrics_collector | INFO | Elapsed: 32.7s | Total: 3,243 | Current TPS: 139 | Avg TPS: 125
2026-01-23 14:41:33 | metrics_collector | INFO | Elapsed: 33.8s | Total: 3,362 | Current TPS: 119 | Avg TPS: 125
2026-01-23 14:41:34 | metrics_collector | INFO | Elapsed: 34.9s | Total: 3,492 | Current TPS: 130 | Avg TPS: 125
2026-01-23 14:41:35 | metrics_collector | INFO | Elapsed: 35.9s | Total: 3,631 | Current TPS: 139 | Avg TPS: 125
2026-01-23 14:41:36 | metrics_collector | INFO | Elapsed: 36.9s | Total: 3,782 | Current TPS: 151 | Avg TPS: 126
2026-01-23 14:41:37 | metrics_collector | INFO | Elapsed: 38.0s | Total: 3,940 | Current TPS: 158 | Avg TPS: 127
2026-01-23 14:41:38 | metrics_collector | INFO | Elapsed: 39.1s | Total: 4,092 | Current TPS: 152 | Avg TPS: 128
2026-01-23 14:41:39 | metrics_collector | INFO | Elapsed: 40.1s | Total: 4,248 | Current TPS: 156 | Avg TPS: 129
2026-01-23 14:41:40 | metrics_collector | INFO | Elapsed: 41.2s | Total: 4,398 | Current TPS: 150 | Avg TPS: 129
2026-01-23 14:41:41 | metrics_collector | INFO | Elapsed: 42.3s | Total: 4,535 | Current TPS: 137 | Avg TPS: 130
2026-01-23 14:41:42 | metrics_collector | INFO | Elapsed: 43.3s | Total: 4,710 | Current TPS: 175 | Avg TPS: 131
2026-01-23 14:41:43 | metrics_collector | INFO | Elapsed: 44.3s | Total: 4,872 | Current TPS: 162 | Avg TPS: 132
2026-01-23 14:41:44 | metrics_collector | INFO | Elapsed: 45.3s | Total: 5,035 | Current TPS: 163 | Avg TPS: 132
2026-01-23 14:41:45 | metrics_collector | INFO | Elapsed: 46.4s | Total: 5,206 | Current TPS: 171 | Avg TPS: 133
2026-01-23 14:41:46 | metrics_collector | INFO | Elapsed: 47.4s | Total: 5,357 | Current TPS: 151 | Avg TPS: 134
2026-01-23 14:41:47 | metrics_collector | INFO | Elapsed: 48.4s | Total: 5,507 | Current TPS: 150 | Avg TPS: 134
2026-01-23 14:41:48 | metrics_collector | INFO | Elapsed: 49.5s | Total: 5,652 | Current TPS: 145 | Avg TPS: 135
2026-01-23 14:41:49 | metrics_collector | INFO | Elapsed: 50.5s | Total: 5,829 | Current TPS: 177 | Avg TPS: 136
2026-01-23 14:41:50 | metrics_collector | INFO | Elapsed: 51.5s | Total: 5,979 | Current TPS: 150 | Avg TPS: 136
2026-01-23 14:41:52 | metrics_collector | INFO | Elapsed: 52.6s | Total: 6,147 | Current TPS: 168 | Avg TPS: 137
2026-01-23 14:41:53 | metrics_collector | INFO | Elapsed: 53.7s | Total: 6,292 | Current TPS: 145 | Avg TPS: 137
2026-01-23 14:41:54 | metrics_collector | INFO | Elapsed: 54.8s | Total: 6,420 | Current TPS: 128 | Avg TPS: 137
2026-01-23 14:41:55 | metrics_collector | INFO | Elapsed: 55.8s | Total: 6,562 | Current TPS: 142 | Avg TPS: 137
2026-01-23 14:41:56 | metrics_collector | INFO | Elapsed: 56.8s | Total: 6,721 | Current TPS: 159 | Avg TPS: 137
2026-01-23 14:41:57 | metrics_collector | INFO | Elapsed: 57.9s | Total: 6,886 | Current TPS: 165 | Avg TPS: 138
2026-01-23 14:41:58 | metrics_collector | INFO | Elapsed: 58.9s | Total: 7,048 | Current TPS: 162 | Avg TPS: 138
